year	county	silking
1996	black hawk	214
1996	boone	209
1996	bremer	214
1996	buchanan	214
1996	buena vista	213
1996	butler	214
1996	calhoun	208
1996	carroll	208
1996	cass	208
1996	cedar	213
1996	cerro gordo	214
1996	cherokee	213
1996	chickasaw	214
1996	clarke	211
1996	clay	213
1996	clayton	214
1996	clinton	213
1996	crawford	208
1996	dallas	209
1996	davis	213
1996	decatur	211
1996	delaware	214
1996	des moines	213
1996	dickinson	213
1996	dubuque	214
1996	emmet	213
1996	fayette	214
1996	floyd	214
1996	franklin	214
1996	fremont	208
1996	greene	208
1996	grundy	209
1996	guthrie	208
1996	hamilton	209
1996	hancock	214
1996	hardin	209
1996	harrison	208
1996	henry	213
1996	howard	214
1996	humboldt	214
1996	ida	208
1996	iowa	213
1996	jackson	213
1996	jasper	209
1996	jefferson	213
1996	johnson	213
1996	jones	213
1996	keokuk	213
1996	kossuth	214
1996	lee	213
1996	linn	213
1996	louisa	213
1996	lucas	211
1996	lyon	213
1996	madison	211
1996	mahaska	213
1996	marion	211
1996	marshall	209
1996	mills	208
1996	mitchell	214
1996	monona	208
1996	monroe	211
1996	montgomery	208
1996	muscatine	213
1996	o brien	213
1996	osceola	213
1996	page	208
1996	palo alto	213
1996	plymouth	213
1996	pocahontas	213
1996	polk	209
1996	pottawattamie	208
1996	poweshiek	209
1996	ringgold	211
1996	sac	208
1996	scott	213
1996	shelby	208
1996	sioux	213
1996	story	209
1996	tama	209
1996	taylor	208
1996	union	211
1996	van buren	213
1996	wapello	213
1996	warren	211
1996	washington	213
1996	wayne	211
1996	webster	209
1996	winnebago	214
1996	winneshiek	214
1996	woodbury	208
1996	worth	214
1996	wright	214
1997	adair	205
1997	adams	205
1997	allamakee	208
1997	appanoose	208
1997	audubon	206
1997	benton	207
1997	black hawk	208
1997	boone	204
1997	bremer	208
1997	buchanan	208
1997	buena vista	207
1997	butler	206
1997	calhoun	206
1997	carroll	206
1997	cass	205
1997	cedar	207
1997	cerro gordo	206
1997	cherokee	207
1997	chickasaw	208
1997	clarke	208
1997	clay	207
1997	clayton	208
1997	clinton	207
1997	crawford	206
1997	dallas	204
1997	davis	204
1997	decatur	208
1997	delaware	208
1997	des moines	204
1997	dickinson	207
1997	dubuque	208
1997	emmet	207
1997	fayette	208
1997	floyd	206
1997	franklin	206
1997	fremont	205
1997	greene	206
1997	grundy	204
1997	guthrie	206
1997	hamilton	204
1997	hancock	206
1997	hardin	204
1997	harrison	206
1997	henry	204
1997	howard	208
1997	humboldt	206
1997	ida	206
1997	iowa	207
1997	jackson	207
1997	jasper	204
1997	jefferson	204
1997	johnson	207
1997	jones	207
1997	keokuk	204
1997	kossuth	206
1997	lee	204
1997	linn	207
1997	louisa	204
1997	lucas	208
1997	lyon	207
1997	madison	208
1997	mahaska	204
1997	marion	208
1997	marshall	204
1997	mills	205
1997	mitchell	206
1997	monona	206
1997	monroe	208
1997	montgomery	205
1997	muscatine	207
1997	o brien	207
1997	osceola	207
1997	page	205
1997	palo alto	207
1997	plymouth	207
1997	pocahontas	207
1997	polk	204
1997	pottawattamie	205
1997	poweshiek	204
1997	ringgold	208
1997	sac	206
1997	scott	207
1997	shelby	206
1997	sioux	207
1997	story	204
1997	tama	204
1997	taylor	205
1997	union	208
1997	van buren	204
1997	wapello	204
1997	warren	208
1997	washington	204
1997	wayne	208
1997	webster	204
1997	winnebago	206
1997	winneshiek	208
1997	woodbury	206
1997	worth	206
1997	wright	206
1998	adair	197
1998	adams	197
1998	allamakee	203
1998	appanoose	205
1998	audubon	201
1998	benton	201
1998	black hawk	203
1998	boone	198
1998	bremer	203
1998	buchanan	203
1998	buena vista	200
1998	butler	198
1998	calhoun	201
1998	carroll	201
1998	cass	197
1998	cedar	201
1998	cerro gordo	198
1998	cherokee	200
1998	chickasaw	203
1998	clarke	205
1998	clay	200
1998	clayton	203
1998	clinton	201
1998	crawford	201
1998	dallas	198
1998	davis	204
1998	decatur	205
1998	delaware	203
1998	des moines	204
1998	dickinson	200
1998	dubuque	203
1998	emmet	200
1998	fayette	203
1998	floyd	198
1998	franklin	198
1998	fremont	197
1998	greene	201
1998	grundy	198
1998	guthrie	201
1998	hamilton	198
1998	hancock	198
1998	hardin	198
1998	harrison	201
1998	henry	204
1998	howard	203
1998	humboldt	198
1998	ida	201
1998	iowa	201
1998	jackson	201
1998	jasper	198
1998	jefferson	204
1998	johnson	201
1998	jones	201
1998	keokuk	204
1998	kossuth	198
1998	lee	204
1998	linn	201
1998	louisa	204
1998	lucas	205
1998	lyon	200
1998	madison	205
1998	mahaska	204
1998	marion	205
1998	marshall	198
1998	mills	197
1998	mitchell	198
1998	monona	201
1998	monroe	205
1998	montgomery	197
1998	muscatine	201
1998	o brien	200
1998	osceola	200
1998	page	197
1998	palo alto	200
1998	plymouth	200
1998	pocahontas	200
1998	polk	198
1998	pottawattamie	197
1998	poweshiek	198
1998	ringgold	205
1998	sac	201
1998	scott	201
1998	shelby	201
1998	sioux	200
1998	story	198
1998	tama	198
1998	taylor	197
1998	union	205
1998	van buren	204
1998	wapello	204
1998	warren	205
1998	washington	204
1998	wayne	205
1998	webster	198
1998	winnebago	198
1998	winneshiek	203
1998	woodbury	201
1998	worth	198
1998	wright	198
1999	adair	202
1999	adams	202
1999	allamakee	204
1999	appanoose	207
1999	audubon	203
1999	benton	201
1999	black hawk	204
1999	boone	202
1999	bremer	204
1999	buchanan	204
1999	buena vista	203
1999	butler	205
1999	calhoun	203
1999	carroll	203
1999	cass	202
1999	cedar	201
1999	cerro gordo	205
1999	cherokee	203
1999	chickasaw	204
1999	clarke	207
1999	clay	203
1999	clayton	204
1999	clinton	201
1999	crawford	203
1999	dallas	202
1999	davis	203
1999	decatur	207
1999	delaware	204
1999	des moines	203
1999	dickinson	203
1999	dubuque	204
1999	emmet	203
1999	fayette	204
1999	floyd	205
1999	franklin	205
1999	fremont	202
1999	greene	203
1999	grundy	202
1999	guthrie	203
1999	hamilton	202
1999	hancock	205
1999	hardin	202
1999	harrison	203
1999	henry	203
1999	howard	204
1999	humboldt	205
1999	ida	203
1999	iowa	201
1999	jackson	201
1999	jasper	202
1999	jefferson	203
1999	johnson	201
1999	jones	201
1999	keokuk	203
1999	kossuth	205
1999	lee	203
1999	linn	201
1999	louisa	203
1999	lucas	207
1999	lyon	203
1999	madison	207
1999	mahaska	203
1999	marion	207
1999	marshall	202
1999	mills	202
1999	mitchell	205
1999	monona	203
1999	monroe	207
1999	montgomery	202
1999	muscatine	201
1999	o brien	203
1999	osceola	203
1999	page	202
1999	palo alto	203
1999	plymouth	203
1999	pocahontas	203
1999	polk	202
1999	pottawattamie	202
1999	poweshiek	202
1999	ringgold	207
1999	sac	203
1999	scott	201
1999	shelby	203
1999	sioux	203
1999	story	202
1999	tama	202
1999	taylor	202
1999	union	207
1999	van buren	203
1999	wapello	203
1999	warren	207
1999	washington	203
1999	wayne	207
1999	webster	202
1999	winnebago	205
1999	winneshiek	204
1999	woodbury	203
1999	worth	205
1999	wright	205
2000	adair	193
2000	adams	193
2000	allamakee	203
2000	appanoose	195
2000	audubon	196
2000	benton	201
2000	black hawk	203
2000	boone	196
2000	bremer	203
2000	buchanan	203
2000	buena vista	202
2000	butler	200
2000	calhoun	196
2000	carroll	196
2000	cass	193
2000	cedar	201
2000	cerro gordo	200
2000	cherokee	202
2000	chickasaw	203
2000	clarke	195
2000	clay	202
2000	clayton	203
2000	clinton	201
2000	crawford	196
2000	dallas	196
2000	davis	196
2000	decatur	195
2000	delaware	203
2000	des moines	196
2000	dickinson	202
2000	dubuque	203
2000	emmet	202
2000	fayette	203
2000	floyd	200
2000	franklin	200
2000	fremont	193
2000	greene	196
2000	grundy	196
2000	guthrie	196
2000	hamilton	196
2000	hancock	200
2000	hardin	196
2000	harrison	196
2000	henry	196
2000	howard	203
2000	humboldt	200
2000	ida	196
2000	iowa	201
2000	jackson	201
2000	jasper	196
2000	jefferson	196
2000	johnson	201
2000	jones	201
2000	keokuk	196
2000	kossuth	200
2000	lee	196
2000	linn	201
2000	louisa	196
2000	lucas	195
2000	lyon	202
2000	madison	195
2000	mahaska	196
2000	marion	195
2000	marshall	196
2000	mills	193
2000	mitchell	200
2000	monona	196
2000	monroe	195
2000	montgomery	193
2000	muscatine	201
2000	o brien	202
2000	osceola	202
2000	page	193
2000	palo alto	202
2000	plymouth	202
2000	pocahontas	202
2000	polk	196
2000	pottawattamie	193
2000	poweshiek	196
2000	ringgold	195
2000	sac	196
2000	scott	201
2000	shelby	196
2000	sioux	202
2000	story	196
2000	tama	196
2000	taylor	193
2000	union	195
2000	van buren	196
2000	wapello	196
2000	warren	195
2000	washington	196
2000	wayne	195
2000	webster	196
2000	winnebago	200
2000	winneshiek	203
2000	woodbury	196
2000	worth	200
2000	wright	200
2001	adair	201
2001	adams	201
2001	allamakee	210
2001	appanoose	207
2001	audubon	204
2001	benton	204
2001	black hawk	210
2001	boone	204
2001	bremer	210
2001	buchanan	210
2001	buena vista	208
2001	butler	207
2001	calhoun	204
2001	carroll	204
2001	cass	201
2001	cedar	204
2001	cerro gordo	207
2001	cherokee	208
2001	chickasaw	210
2001	clarke	207
2001	clay	208
2001	clayton	210
2001	clinton	204
2001	crawford	204
2001	dallas	204
2001	davis	206
2001	decatur	207
2001	delaware	210
2001	des moines	206
2001	dickinson	208
2001	dubuque	210
2001	emmet	208
2001	fayette	210
2001	floyd	207
2001	franklin	207
2001	fremont	201
2001	greene	204
2001	grundy	204
2001	guthrie	204
2001	hamilton	204
2001	hancock	207
2001	hardin	204
2001	harrison	204
2001	henry	206
2001	howard	210
2001	humboldt	207
2001	ida	204
2001	iowa	204
2001	jackson	204
2001	jasper	204
2001	jefferson	206
2001	johnson	204
2001	jones	204
2001	keokuk	206
2001	kossuth	207
2001	lee	206
2001	linn	204
2001	louisa	206
2001	lucas	207
2001	lyon	208
2001	madison	207
2001	mahaska	206
2001	marion	207
2001	marshall	204
2001	mills	201
2001	mitchell	207
2001	monona	204
2001	monroe	207
2001	montgomery	201
2001	muscatine	204
2001	o brien	208
2001	osceola	208
2001	page	201
2001	palo alto	208
2001	plymouth	208
2001	pocahontas	208
2001	polk	204
2001	pottawattamie	201
2001	poweshiek	204
2001	ringgold	207
2001	sac	204
2001	scott	204
2001	shelby	204
2001	sioux	208
2001	story	204
2001	tama	204
2001	taylor	201
2001	union	207
2001	van buren	206
2001	wapello	206
2001	warren	207
2001	washington	206
2001	wayne	207
2001	webster	204
2001	winnebago	207
2001	winneshiek	210
2001	woodbury	204
2001	worth	207
2001	wright	207
2002	adair	196
2002	adams	196
2002	allamakee	202
2002	appanoose	198
2002	audubon	198
2002	benton	208
2002	black hawk	202
2002	boone	196
2002	bremer	202
2002	buchanan	202
2002	buena vista	203
2002	butler	200
2002	calhoun	198
2002	carroll	198
2002	cass	196
2002	cedar	208
2002	cerro gordo	200
2002	cherokee	203
2002	chickasaw	202
2002	clarke	198
2002	clay	203
2002	clayton	202
2002	clinton	208
2002	crawford	198
2002	dallas	196
2002	davis	201
2002	decatur	198
2002	delaware	202
2002	des moines	201
2002	dickinson	203
2002	dubuque	202
2002	emmet	203
2002	fayette	202
2002	floyd	200
2002	franklin	200
2002	fremont	196
2002	greene	198
2002	grundy	196
2002	guthrie	198
2002	hamilton	196
2002	hancock	200
2002	hardin	196
2002	harrison	198
2002	henry	201
2002	howard	202
2002	humboldt	200
2002	ida	198
2002	iowa	208
2002	jackson	208
2002	jasper	196
2002	jefferson	201
2002	johnson	208
2002	jones	208
2002	keokuk	201
2002	kossuth	200
2002	lee	201
2002	linn	208
2002	louisa	201
2002	lucas	198
2002	lyon	203
2002	madison	198
2002	mahaska	201
2002	marion	198
2002	marshall	196
2002	mills	196
2002	mitchell	200
2002	monona	198
2002	monroe	198
2002	montgomery	196
2002	muscatine	208
2002	o brien	203
2002	osceola	203
2002	page	196
2002	palo alto	203
2002	plymouth	203
2002	pocahontas	203
2002	polk	196
2002	pottawattamie	196
2002	poweshiek	196
2002	ringgold	198
2002	sac	198
2002	scott	208
2002	shelby	198
2002	sioux	203
2002	story	196
2002	tama	196
2002	taylor	196
2002	union	198
2002	van buren	201
2002	wapello	201
2002	warren	198
2002	washington	201
2002	wayne	198
2002	webster	196
2002	winnebago	200
2002	winneshiek	202
2002	woodbury	198
2002	worth	200
2002	wright	200
2003	adair	203
2003	adams	203
2003	allamakee	206
2003	appanoose	205
2003	audubon	206
2003	benton	207
2003	black hawk	206
2003	boone	204
2003	bremer	206
2003	buchanan	206
2003	buena vista	204
2003	butler	203
2003	calhoun	206
2003	carroll	206
2003	cass	203
2003	cedar	207
2003	cerro gordo	203
2003	cherokee	204
2003	chickasaw	206
2003	clarke	205
2003	clay	204
2003	clayton	206
2003	clinton	207
2003	crawford	206
2003	dallas	204
2003	davis	205
2003	decatur	205
2003	delaware	206
2003	des moines	205
2003	dickinson	204
2003	dubuque	206
2003	emmet	204
2003	fayette	206
2003	floyd	203
2003	franklin	203
2003	fremont	203
2003	greene	206
2003	grundy	204
2003	guthrie	206
2003	hamilton	204
2003	hancock	203
2003	hardin	204
2003	harrison	206
2003	henry	205
2003	howard	206
2003	humboldt	203
2003	ida	206
2003	iowa	207
2003	jackson	207
2003	jasper	204
2003	jefferson	205
2003	johnson	207
2003	jones	207
2003	keokuk	205
2003	kossuth	203
2003	lee	205
2003	linn	207
2003	louisa	205
2003	lucas	205
2003	lyon	204
2003	madison	205
2003	mahaska	205
2003	marion	205
2003	marshall	204
2003	mills	203
2003	mitchell	203
2003	monona	206
2003	monroe	205
2003	montgomery	203
2003	muscatine	207
2003	o brien	204
2003	osceola	204
2003	page	203
2003	palo alto	204
2003	plymouth	204
2003	pocahontas	204
2003	polk	204
2003	pottawattamie	203
2003	poweshiek	204
2003	ringgold	205
2003	sac	206
2003	scott	207
2003	shelby	206
2003	sioux	204
2003	story	204
2003	tama	204
2003	taylor	203
2003	union	205
2003	van buren	205
2003	wapello	205
2003	warren	205
2003	washington	205
2003	wayne	205
2003	webster	204
2003	winnebago	203
2003	winneshiek	206
2003	woodbury	206
2003	worth	203
2003	wright	203
2004	adair	197
2004	adams	197
2004	allamakee	206
2004	appanoose	198
2004	audubon	202
2004	benton	200
2004	black hawk	206
2004	boone	198
2004	bremer	206
2004	buchanan	206
2004	buena vista	206
2004	butler	205
2004	calhoun	202
2004	carroll	202
2004	cass	197
2004	cedar	200
2004	cerro gordo	205
2004	cherokee	206
2004	chickasaw	206
2004	clarke	198
2004	clay	206
2004	clayton	206
2004	clinton	200
2004	crawford	202
2004	dallas	198
2004	davis	195
2004	decatur	198
2004	delaware	206
2004	des moines	195
2004	dickinson	206
2004	dubuque	206
2004	emmet	206
2004	fayette	206
2004	floyd	205
2004	franklin	205
2004	fremont	197
2004	greene	202
2004	grundy	198
2004	guthrie	202
2004	hamilton	198
2004	hancock	205
2004	hardin	198
2004	harrison	202
2004	henry	195
2004	howard	206
2004	humboldt	205
2004	ida	202
2004	iowa	200
2004	jackson	200
2004	jasper	198
2004	jefferson	195
2004	johnson	200
2004	jones	200
2004	keokuk	195
2004	kossuth	205
2004	lee	195
2004	linn	200
2004	louisa	195
2004	lucas	198
2004	lyon	206
2004	madison	198
2004	mahaska	195
2004	marion	198
2004	marshall	198
2004	mills	197
2004	mitchell	205
2004	monona	202
2004	monroe	198
2004	montgomery	197
2004	muscatine	200
2004	o brien	206
2004	osceola	206
2004	page	197
2004	palo alto	206
2004	plymouth	206
2004	pocahontas	206
2004	polk	198
2004	pottawattamie	197
2004	poweshiek	198
2004	ringgold	198
2004	sac	202
2004	scott	200
2004	shelby	202
2004	sioux	206
2004	story	198
2004	tama	198
2004	taylor	197
2004	union	198
2004	van buren	195
2004	wapello	195
2004	warren	198
2004	washington	195
2004	wayne	198
2004	webster	198
2004	winnebago	205
2004	winneshiek	206
2004	woodbury	202
2004	worth	205
2004	wright	205
2005	adair	196
2005	adams	196
2005	allamakee	204
2005	appanoose	198
2005	audubon	199
2005	benton	201
2005	black hawk	204
2005	boone	199
2005	bremer	204
2005	buchanan	204
2005	buena vista	202
2005	butler	202
2005	calhoun	199
2005	carroll	199
2005	cass	196
2005	cedar	201
2005	cerro gordo	202
2005	cherokee	202
2005	chickasaw	204
2005	clarke	198
2005	clay	202
2005	clayton	204
2005	clinton	201
2005	crawford	199
2005	dallas	199
2005	davis	198
2005	decatur	198
2005	delaware	204
2005	des moines	198
2005	dickinson	202
2005	dubuque	204
2005	emmet	202
2005	fayette	204
2005	floyd	202
2005	franklin	202
2005	fremont	196
2005	greene	199
2005	grundy	199
2005	guthrie	199
2005	hamilton	199
2005	hancock	202
2005	hardin	199
2005	harrison	199
2005	henry	198
2005	howard	204
2005	humboldt	202
2005	ida	199
2005	iowa	201
2005	jackson	201
2005	jasper	199
2005	jefferson	198
2005	johnson	201
2005	jones	201
2005	keokuk	198
2005	kossuth	202
2005	lee	198
2005	linn	201
2005	louisa	198
2005	lucas	198
2005	lyon	202
2005	madison	198
2005	mahaska	198
2005	marion	198
2005	marshall	199
2005	mills	196
2005	mitchell	202
2005	monona	199
2005	monroe	198
2005	montgomery	196
2005	muscatine	201
2005	o brien	202
2005	osceola	202
2005	page	196
2005	palo alto	202
2005	plymouth	202
2005	pocahontas	202
2005	polk	199
2005	pottawattamie	196
2005	poweshiek	199
2005	ringgold	198
2005	sac	199
2005	scott	201
2005	shelby	199
2005	sioux	202
2005	story	199
2005	tama	199
2005	taylor	196
2005	union	198
2005	van buren	198
2005	wapello	198
2005	warren	198
2005	washington	198
2005	wayne	198
2005	webster	199
